Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    43500    864s |  44    27438    26661 |  46    27278    26677
    44000    874s |  58    27335    26661 |  49    26834    26657
    44500    884s |  35    26777    26660 |  59    26764    26657
    45000    890s |  41    26902    26660 |  39    26914    26656
    45500    898s |  27    26797    26656 |  57    26847    26654
    46000    907s |  48    27532    26656 |  43    28041    26856
    46500    916s |  59    27033    26655 |  65    26895    26650
    47000    927s |  53    27606    26655 |  25    27572    26727
    47500    937s |  55    27272    26654 |  56    26076    24375
    48000    949s |  50    27547    26653 |  58    28018    26715
    48500    958s |  34    26909    26653 |  27    26749    26643
    49000    965s |  63    26988    26653 |  32    26786    26647
    49500    971s |  27    26987    26653 |  65    26579    24436
    50000    983s |  62    27548    26653 |  54    27812    26656
    50500    996s |  36    27143    26653 |  41    27163    26654
    51000   1007s |  34    26896    26651 |  26    27041    26656
    51500   1018s |  26    26807    26651 |  31    26973    26660
    52000   1029s |  59    27005    26651 |  52    26841    26643
    52500   1041s |  54    27151    26651 |  40    26895    26648
    53000   1050s |  41    26813    26651 |  53    26919    26648
    53500   1061s |  50    27443    26651 |  32    28167    26823
    54000   1073s |  29    26871    26651 |  64    26914    26667
    54500   1082s |  40    27372    26651 |  31    25238    24285
    55000   1094s |  46    27062    26651 |  63    26852    26643
    55500   1103s |  43    27026    26650 |  36    27012    26648
    56000   1113s |  34    26934    26650 |  59    26904    26650
    56500   1120s |  46    27129    26650 |  40    26937    26654
    57000   1130s |  33    26884    26648 |  51    26904    26650
    57500   1140s |  62    26951    26647 |  41    26872    26672
    58000   1151s |  47    26990    26647 |  27    26912    26654
R                 |        restart        |        restart
    58500   1162s |  48    35953    27765 |  54    28050    27053
    59000   1173s |  34    27620    27081 |  64    27558    27108
    59500   1184s |  46    27527    27011 |  32    27304    26979
    60000   1192s |  35    27415    26886 |  57    27273    26904
    60500   1202s |  55    27471    26846 |  48    27471    26875
    61000   1210s |  62    27158    26827 |  38    26964    26780
    61500   1220s |  62    27148    26817 |  36    27081    26809
    62000   1228s |  62    27508    26785 |  33    26970    26736
    62500   1236s |  34    27253    26764 |  30    26384    24508
    63000   1243s |  56    27038    26760 |  28    26246    24181
    63500   1252s |  35    26962    26757 |  48    27112    26728
    64000   1260s |  29    26930    26757 |  59    28178    26731
    64500   1268s |  46    27072    26733 |  38    26923    26704
    65000   1276s |  46    27022    26726 |  43    26680    24262
    65500   1283s |  47    27031    26714 |  45    26863    26691
    66000   1290s |  59    26932    26703 |  56    26831    26686
    66500   1297s |  25    26727    26703 |  27    26764    26687
    67000   1302s |  45    26923    26702 |  53    26790    26683
    67500   1308s |  52    26944    26702 |  42    26884    26686
    68000   1315s |  53    26901    26702 |  30    26722    26684
    68500   1323s |  64    27792    26695 |  55    28673    26813
    69000   1330s |  38    26875    26693 |  35    26747    26674
    69500   1337s |  36    27065    26692 |  49    26984    26674
    70000   1344s |  60    27056    26692 |  62    26865    26677
    70500   1352s |  31    26908    26692 |  27    26895    26677
    71000   1359s |  54    26924    26691 |  56    26852    26677
    71500   1367s |  40    26984    26682 |  30    27049    26680
    72000   1376s |  47    27127    26682 |  61    27219    26675
    72500   1386s |  50    27740    26682 |  34    25540    24232
    73000   1396s |  44    27266    26682 |  34    26000    24415
    73500   1406s |  41    27208    26682 |  46    26949    26667
    74000   1416s |  58    27452    26682 |  32    26048    25014
    74500   1428s |  46    27529    26678 |  43    27144    26667
    75000   1438s |  44    27147    26678 |  39    27410    26657
    75500   1451s |  45    27720    26673 |  29    27242    26678
    76000   1459s |  34    26896    26672 |  30    26812    26670
    76500   1470s |  57    27647    26672 |  32    24859    23819
    77000   1481s |  45    27438    26672 |  38    27775    26674
    77500   1493s |  37    27474    26672 |  58    28047    26687
    78000   1504s |  56    27516    26672 |  54    27414    26674
R                 |        restart        |        restart
    78500   1516s |  53    35014    27641 |  57    28181    27480
    79000   1529s |  35    38207    27111 |  30    26020    24909
    79500   1540s |  46    27282    26859 |  62    27280    26853
    80000   1548s |  47    27079    26729 |  60    26912    26691
    80500   1558s |  38    27479    26679 |  63    27470    26699
    81000   1567s |  48    27034    26639 |  64    27419    26649
    81500   1576s |  42    26872    26621 |  46    26841    26629
    82000   1585s |  49    26893    26614 |  28    26814    26630
    82500   1592s |  36    26832    26612 |  63    26782    26617
    83000   1601s |  62    27514    26612 |  30    27120    26705
    83500   1610s |  45    27140    26612 |  40    27001    26624
    84000   1618s |  60    26905    26612 |  39    26784    26613
    84500   1626s |  62    26949    26612 |  50    26854    26615
    85000   1635s |  30    27119    26612 |  53    26321    24478
    85500   1644s |  32    27007    26612 |  33    27370    26666
    86000   1652s |  42    27105    26612 |  51    26272    24666
    86500   1661s |  61    26960    26612 |  25    26818    26615
    87000   1670s |  31    27029    26612 |  34    26885    26617
    87500   1680s |  64    27974    26612 |  46    25258    24361
    88000   1691s |  47    26982    26612 |  31    26840    26619
    88500   1699s |  27    27307    26612 |  27    26830    26614
    89000   1707s |  39    27053    26612 |  26    26750    26613
    89500   1715s |  32    26978    26612 |  31    26751    26612
    90000   1725s |  57    27570    26612 |  40    27164    26670
    90500   1735s |  45    27383    26612 |  60    26067    24405
    91000   1743s |  34    27026    26612 |  46    26852    26617
    91500   1751s |  58    27227    26612 |  26    26775    26613
    92000   1762s |  43    27756    26612 |  65    26161    24621
    92500   1772s |  51    27331    26612 |  61    27084    26626
    93000   1781s |  27    27054    26612 |  41    26851    26638
    93500   1790s |  36    27284    26612 |  62    27147    26657
    94000   1798s |  61    27085    26612 |  46    26879    26615
    94500   1809s |  65    27430    26612 |  35    27362    26636
    95000   1817s |  64    27351    26612 |  44    25993    24415
    95500   1828s |  63    27109    26612 |  35    26749    26615
    96000   1836s |  31    26880    26612 |  37    27053    26613
    96500   1846s |  58    27385    26612 |  52    27101    26629
    97000   1855s |  34    26944    26612 |  36    26781    26613
    97500   1863s |  35    26989    26612 |  42    26765    26619
    98000   1874s |  63    26999    26612 |  27    26757    26613
R                 |        restart        |        restart
    98500   1884s |  52    35101    27652 |  47    28213    27585
    99000   1896s |  34    38362    27291 |  27    27502    27221
    99500   1906s |  31    27533    27196 |  30    27475    27143
   100000   1918s |  50    27886    27121 |  58    27720    27066
   100500   1928s |  47    27460    27087 |  27    27244    27065
   101000   1936s |  30    27162    27062 |  60    27124    26998
   101500   1942s |  32    27101    27010 |  64    27181    26997
   102000   1951s |  27    27210    27003 |  61    27436    26986
   102500   1964s |  28    27277    27003 |  31    27180    26901
   103000   1975s |  36    27579    26982 |  52    27410    26740
   103500   1986s |  63    27523    26943 |  51    27094    26810
   104000   1996s |  46    27269    26912 |  57    27104    26810
   104500   2005s |  44    27186    26810 |  39    27044    26783
   105000   2012s |  29    26910    26794 |  33    26934    26772
   105500   2020s |  32    26840    26771 |  62    26946    26766
   106000   2027s |  26    26870    26769 |  43    26831    26754
   106500   2033s |  53    27016    26765 |  33    26884    26757
   107000   2042s |  34    26980    26765 |  35    26914    26759
   107500   2050s |  25    26943    26765 |  58    26591    24297
   108000   2061s |  60    27763    26756 |  59    25683    24468
   108500   2071s |  36    26930    26720 |  25    26882    26718
   109000   2080s |  32    27175    26720 |  39    25003    24256
   109500   2090s |  28    26934    26710 |  60    26926    26710
   110000   2100s |  28    26900    26697 |  41    25671    24516
   110500   2111s |  46    26924    26697 |  57    26999    26708
   111000   2122s |  38    27218    26696 |  25    27100    26703
   111500   2133s |  56    27492    26692 |  30    27240    26695
   112000   2145s |  38    27116    26692 |  41    27507    26809
   112500   2157s |  29    27117    26692 |  27    25686    24532
   113000   2168s |  31    27081    26692 |  42    27084    26694
   113500   2179s |  36    27482    26692 |  62    25421    24069
   114000   2191s |  35    27065    26692 |  37    27820    26694
   114500   2203s |  61    27630    26692 |  62    28252    26694
   115000   2213s |  45    27158    26692 |  39    26996    26674
   115500   2224s |  41    27419    26692 |  59    28139    26776
   116000   2235s |  34    27259    26692 |  26    27125    26703
   116500   2248s |  28    27193    26692 |  26    27029    26730
   117000   2259s |  28    27037    26692 |  32    27127    26716
   117500   2271s |  62    27366    26692 |  50    27111    26689
   118000   2282s |  49    27564    26692 |  56    25514    24399
R                 |        restart        |        restart
   118500   2294s |  62    33815    27473 |  47    27962    27526
   119000   2306s |  42    36134    27068 |  44    27343    27015
   119500   2314s |  30    39211    26964 |  37    27259    26884
   120000   2323s |  40    27086    26881 |  60    27168    26863
   120500   2331s |  53    27565    26824 |  34    25198    24323
   121000   2339s |  57    27391    26769 |  63    27363    26759
   121500   2346s |  30    26977    26738 |  36    26866    26710
   122000   2352s |  36    26820    26725 |  61    26748    26700
   122500   2359s |  37    26806    26697 |  28    26743    26689
   123000   2364s |  61    26946    26697 |  43    26808    26691
   123500   2370s |  42    26913    26697 |  64    26838    26689
   124000   2379s |  41    26824    26697 |  54    26824    26691
   124500   2386s |  49    26811    26697 |  41    26765    26689
   125000   2392s |  61    26870    26697 |  26    26748    26681
   125500   2399s |  53    26857    26697 |  57    26834    26689
   126000   2405s |  38    26859    26697 |  40    26894    26689
   126500   2412s |  52    26886    26697 |  28    26736    26689
   127000   2418s |  31    26916    26697 |  51    26860    26670
   127500   2424s |  50    26935    26697 |  42    26800    26679
   128000   2433s |  35    27014    26697 |  35    26893    26685
   128500   2439s |  44    26815    26697 |  65    26785    26679
   129000   2445s |  44    27011    26697 |  50    26857    26675
   129500   2453s |  41    26974    26697 |  36    26912    26689
   130000   2463s |  49    26971    26697 |  59    26870    26689
   130500   2470s |  55    26914    26697 |  35    26991    26689
   131000   2479s |  58    27053    26697 |  62    26828    26681
   131500   2485s |  51    26955    26697 |  29    26873    26689
   132000   2492s |  37    27028    26686 |  43    26921    26676
   132500   2497s |  27    26794    26686 |  28    26774    26678
   133000   2503s |  46    26861    26675 |  41    26810    26678
   133500   2513s |  37    27354    26675 |  39    27994    26803
   134000   2521s |  58    26823    26675 |  37    26819    26672
   134500   2529s |  44    26874    26675 |  29    26773    26676
   135000   2535s |  25    26962    26675 |  42    26793    26676
   135500   2545s |  57    27357    26675 |  29    27032    26670
   136000   2553s |  26    26892    26675 |  27    26517    24453
   136500   2561s |  51    27358    26675 |  54    25620    24099
   137000   2570s |  36    26847    26675 |  43    26828    26676
   137500   2579s |  27    27015    26675 |  49    27045    26676
   138000   2585s |  29    26902    26675 |  27    26764    26678
R                 |        restart        |        restart
   138500   2595s |  53    35147    27806 |  49    28483    27749
   139000   2607s |  30    39700    27240 |  26    27534    27198
   139500   2618s |  27    27398    27105 |  28    27386    27047
   140000   2626s |  28    27167    26947 |  25    27158    26907
   140500   2636s |  58    27171    26915 |  33    27097    26915
   141000   2643s |  39    27118    26866 |  55    27157    26807
   141500   2651s |  26    27069    26843 |  54    26976    26784
   142000   2659s |  53    27533    26780 |  43    27150    26761
   142500   2667s |  34    27179    26772 |  47    27061    26741
   143000   2675s |  50    27120    26729 |  58    27028    26700
   143500   2685s |  38    26904    26696 |  60    27066    26706
   144000   2694s |  29    26953    26686 |  54    28422    26825
   144500   2704s |  52    27700    26686 |  52    27826    26695
   145000   2712s |  60    27369    26636 |  51    27488    26708
H  145500   2719s |  35    26813    26585 |  36    26809    26560
H  146000   2727s |  44    26750    26574 |  39    26680    26557
   146500   2737s |  34    26890    26574 |  43    26853    26552
H  147000   2746s |  53    26930    26573 |  39    26931    26550
   147500   2754s |  39    27053    26573 |  32    27134    26550
   148000   2760s |  32    26847    26573 |  33    26605    26528
H  148500   2767s |  25    27010    26571 |  59    27222    26535
   149000   2777s |  60    26898    26571 |  63    26841    26544
   149500   2787s |  65    27609    26571 |  27    27110    26549
   150000   2796s |  26    26976    26571 |  55    25146    23932
   150500   2808s |  41    27403    26571 |  31    26920    26540
   151000   2819s |  34    27210    26571 |  44    27235    26543
H  151500   2828s |  29    26840    26562 |  42    26872    26544
   152000   2839s |  33    27002    26562 |  38    25503    23841
   152500   2848s |  32    26857    26562 |  60    27295    26528
   153000   2858s |  58    27186    26562 |  32    26878    26524
   153500   2868s |  56    27225    26562 |  48    26961    26543
   154000   2877s |  63    27072    26562 |  27    26718    26524
   154500   2887s |  29    26926    26562 |  63    26867    26524
   155000   2895s |  64    27164    26562 |  31    26901    26528
   155500   2905s |  41    26896    26562 |  61    26741    26527
H  156000   2916s |  63    27539    26561 |  62    27083    26565
   156500   2924s |  32    26968    26561 |  48    27260    26528
   157000   2934s |  33    26845    26561 |  30    26851    26539
   157500   2942s |  35    26904    26561 |  50    26801    26523
   158000   2951s |  50    27242    26561 |  30    26239    24885
   158500   2961s |  38    27152    26561 |  55    26896    26527
   159000   2970s |  44    27592    26561 |  39    28017    26793
   159500   2979s |  63    26972    26561 |  48    26853    26527
   160000   2987s |  26    27002    26561 |  35    26931    26527
   160500   2997s |  55    27611    26561 |  30    27310    26639
   161000   3006s |  45    27143    26561 |  51    27175    26545
   161500   3014s |  35    26810    26561 |  50    26602    26219
   162000   3025s |  65    27148    26561 |  40    27006    26527
   162500   3032s |  63    27102    26561 |  58    26532    24583
   163000   3042s |  44    27254    26561 |  56    27044    26527
   163500   3054s |  64    27768    26561 |  53    27211    26599
   164000   3063s |  35    27388    26561 |  36    27018    26545
   164500   3073s |  60    27524    26561 |  60    27498    26577
   165000   3082s |  40    27322    26561 |  34    26847    26549
   165500   3095s |  29    27354    26561 |  42    28032    26856
   166000   3103s |  31    27073    26561 |  30    26827    26527
   166500   3114s |  61    27164    26561 |  49    26994    26563
   167000   3124s |  54    27293    26561 |  38    26991    26601
   167500   3132s |  33    27055    26561 |  45    26821    26527
   168000   3140s |  62    27082    26561 |  56    26347    24433
   168500   3151s |  42    26908    26561 |  46    26837    26527
   169000   3161s |  50    27399    26561 |  65    27207    26557
   169500   3173s |  39    27283    26561 |  63    27431    26560
   170000   3182s |  46    27199    26561 |  49    26926    26550
   170500   3192s |  31    27427    26561 |  62    27238    26545
   171000   3204s |  42    27291    26561 |  29    27333    26584
   171500   3215s |  34    27248    26561 |  26    26867    26578
   172000   3223s |  51    27125    26561 |  38    26766    26550
   172500   3235s |  34    27081    26561 |  26    27349    26559
   173000   3242s |  26    26818    26561 |  41    26701    26527
   173500   3250s |  59    27216    26561 |  62    26958    26523
   174000   3259s |  51    27124    26561 |  43    26809    26523
   174500   3267s |  42    26737    26561 |  56    26739    26527
   175000   3276s |  35    27042    26561 |  30    26367    24632
   175500   3286s |  58    27139    26561 |  64    26522    25025
R                 |        restart        |        restart
   176000   3300s |  65    33847    27564 |  40    27598    27093
   176500   3311s |  40    36691    27082 |  41    27633    27090
   177000   3322s |  26    41285    26920 |  38    27815    27036
   177500   3331s |  43    35576    26874 |  34    27183    26886
   178000   3339s |  40    27089    26808 |  51    27119    26833
   178500   3348s |  33    27067    26796 |  38    27110    26810
   179000   3356s |  40    27148    26780 |  47    27037    26787
   179500   3364s |  56    27200    26775 |  65    27020    26759
   180000   3373s |  62    27369    26755 |  40    26228    24688
   180500   3381s |  46    26928    26728 |  59    26947    26687
   181000   3390s |  27    27013    26651 |  58    27259    26671
   181500   3397s |  38    27062    26651 |  42    27386    26673
   182000   3407s |  65    27242    26648 |  39    26953    26681
   182500   3414s |  41    26882    26646 |  41    26736    26643
   183000   3421s |  63    26994    26646 |  46    26972    26648
   183500   3431s |  65    27451    26646 |  32    26919    26643
   184000   3439s |  51    27500    26646 |  33    26838    26643
   184500   3447s |  60    27386    26646 |  37    26966    26643
   185000   3454s |  30    27190    26646 |  39    25882    24619
   185500   3463s |  28    26843    26646 |  50    27080    26643
   186000   3471s |  43    26932    26646 |  52    26826    26643
   186500   3479s |  63    27035    26646 |  58    26906    26643
   187000   3488s |  63    27382    26646 |  34    26466    24769
   187500   3498s |  51    26933    26646 |  60    26788    26643
   188000   3509s |  43    27635    26646 |  51    27755    26836
   188500   3518s |  64    27505    26646 |  62    27606    26699
   189000   3526s |  25    26881    26646 |  33    26813    26633
   189500   3535s |  43    26981    26646 |  45    26804    26643
   190000   3543s |  28    26981    26646 |  41    26771    24813
   190500   3551s |  62    27310    26646 |  61    26916    26672
   191000   3559s |  54    27133    26646 |  32    26745    26643
   191500   3568s |  48    27683    26646 |  48    25200    24043
   192000   3576s |  50    27127    26646 |  36    26828    26643
   192500   3585s |  52    27138    26646 |  65    26869    26643
   193000   3595s |  48    27136    26646 |  46    26887    26643

Search terminated in 3600.03s after 193222 iterations.
Best-found solution has cost 26561.

Solution results
================
    # routes: 13
   # clients: 260
   objective: 26561
    distance: 26561
    duration: 26561
# iterations: 193222
    run-time: 3600.03 seconds

Solving the file: X-n266-k58.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    265 clients
    265 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     23s |  34    78035    77308 |  49    73367    72832
H    1000     40s |  29    77764    76980 |  57    73001    72362
     1500     56s |  29    77739    76980 |  65    72910    72210
     2000     72s |  46    77927    76980 |  32    72568    72157
     2500     88s |  31    77675    76980 |  40    72459    72026
     3000    103s |  25    77705    76980 |  48    77262    75706
H    3500    116s |  26    77382    76791 |  51    76178    75244
H    4000    129s |  52    77537    76638 |  58    75802    75167
H    4500    140s |  26    76855    76490 |  51    76879    76152
H    5000    157s |  59    77782    76328 |  50    73963    73005
     5500    174s |  34    77408    76328 |  58    73434    72969
     6000    191s |  54    77663    76328 |  25    73219    72813
     6500    207s |  40    77398    76328 |  33    73234    72813
     7000    224s |  59    77753    76328 |  41    73246    72741
     7500    239s |  57    77420    76328 |  44    76242    75794
H    8000    259s |  44    77552    76255 |  44    73645    72918
     8500    286s |  31    77324    76255 |  52    66091    65365
     9000    307s |  29    77050    76255 |  60    73578    72973
     9500    323s |  44    77522    76255 |  27    73104    72833
    10000    346s |  42    77439    76255 |  32    66915    65541
    10500    364s |  60    77602    76255 |  40    73254    72712
    11000    380s |  31    76979    76255 |  48    73098    72641
    11500    396s |  31    77051    76255 |  56    73308    72527
    12000    411s |  27    76817    76255 |  64    73167    72494
    12500    427s |  30    76969    76255 |  31    72898    72417
    13000    446s |  30    76808    76255 |  29    73494    73039
    13500    462s |  44    77288    76255 |  37    73334    72700
    14000    478s |  61    77541    76255 |  45    73294    72599
    14500    494s |  60    77489    76255 |  53    73239    72489
    15000    510s |  30    76811    76255 |  61    73254    72489
H   15500    523s |  29    76863    76223 |  56    76207    75479
H   16000    540s |  50    77571    76151 |  38    67412    65531
    16500    560s |  37    77181    76151 |  46    73417    72875
    17000    576s |  49    77461    76151 |  54    73187    72757
    17500    592s |  50    77469    76151 |  62    73246    72655
    18000    608s |  32    76994    76151 |  29    73045    72620
H   18500    628s |  49    77621    76055 |  25    66180    65400
    19000    647s |  48    77468    76055 |  33    73189    72846
    19500    664s |  28    76894    76055 |  41    73188    72732
    20000    680s |  44    77401    76055 |  49    73077    72697
    20500    695s |  40    77319    76055 |  57    73290    72608
H   21000    708s |  54    77097    75993 |  48    76051    75569
H   21500    729s |  37    77055    75960 |  52    73510    73037
    22000    745s |  48    77350    75960 |  60    73180    72621
    22500    761s |  29    76730    75960 |  27    72878    72525
    23000    776s |  51    77313    75960 |  35    72749    72420
    23500    792s |  28    76653    75960 |  43    72790    72420
    24000    807s |  43    77194    75960 |  51    72917    72420
    24500    822s |  34    76982    75960 |  59    72929    72368
    25000    837s |  49    77300    75960 |  26    72569    72368
    25500    859s |  42    77420    75960 |  34    66510    65488
    26000    877s |  49    77441    75960 |  42    73226    72740
    26500    895s |  28    76638    75960 |  33    58641    55377
    27000    921s |  61    77675    75960 |  41    66180    65236
    27500    940s |  56    77331    75960 |  49    73256    72676
H   28000    954s |  41    77058    75928 |  64    58631    55611
    28500    979s |  60    77545    75928 |  31    65816    65175
    29000   1005s |  28    76345    75928 |  39    66656    65585
H   29500   1025s |  37    77094    75923 |  29    66722    65568
    30000   1042s |  39    76890    75923 |  37    73305    72760
    30500   1058s |  44    77016    75923 |  45    73171    72585
    31000   1074s |  63    77477    75923 |  53    73164    72520
H   31500   1092s |  36    77042    75910 |  47    67036    65687
    32000   1112s |  31    76672    75910 |  55    73279    72801
    32500   1127s |  45    77036    75910 |  63    73179    72662
    33000   1143s |  35    76805    75910 |  30    72950    72602
    33500   1158s |  62    77416    75910 |  38    73064    72562
    34000   1183s |  42    77239    75910 |  46    65854    65231
    34500   1199s |  54    77430    75910 |  54    73258    72721
    35000   1215s |  38    77000    75910 |  62    73092    72459
    35500   1233s |  48    77247    75910 |  49    73597    72950
    36000   1248s |  30    76599    75910 |  57    73148    72549
    36500   1264s |  32    76676    75910 |  65    73215    72516
    37000   1279s |  41    77079    75910 |  32    72785    72401
    37500   1294s |  55    77407    75910 |  40    72881    72396
    38000   1309s |  30    76591    75910 |  48    72927    72396
    38500   1324s |  53    77404    75910 |  56    72795    72363
    39000   1339s |  33    76748    75910 |  64    72945    72345
    39500   1354s |  58    77379    75910 |  31    72652    72322
    40000   1368s |  31    76640    75910 |  39    72814    72322
    40500   1383s |  52    77188    75910 |  47    72926    72322
    41000   1398s |  35    76837    75910 |  55    72862    72322
    41500   1412s |  37    76969    75910 |  63    72940    72322
    42000   1437s |  60    77663    75910 |  30    66019    65432
    42500   1460s |  55    77544    75910 |  38    65855    65357
    43000   1479s |  51    77248    75910 |  46    73203    72714
    43500   1495s |  25    76318    75910 |  54    61894    38571
    44000   1523s |  51    77482    75910 |  62    66036    65321
    44500   1545s |  48    77333    75910 |  29    73315    72713
    45000   1561s |  35    76996    75910 |  37    73093    72655
    45500   1577s |  52    77342    75910 |  45    73160    72533
    46000   1593s |  63    77433    75910 |  53    73072    72432
    46500   1608s |  43    77137    75910 |  61    72845    72359
    47000   1623s |  59    77411    75910 |  28    72623    72328
    47500   1637s |  65    77501    75910 |  36    72562    72326
H   48000   1659s |  32    76696    75866 |  31    74643    73048
    48500   1674s |  45    76836    75866 |  36    76531    75580
    49000   1699s |  45    77212    75866 |  37    65942    65094
    49500   1722s |  30    76592    75866 |  45    65889    65094
    50000   1738s |  35    76879    75866 |  53    73278    72715
    50500   1754s |  48    77213    75866 |  61    73046    72549
    51000   1769s |  27    76390    75866 |  28    72776    72462
    51500   1785s |  44    77093    75866 |  36    72884    72451
    52000   1801s |  63    77485    75866 |  44    72978    72446
    52500   1826s |  38    77029    75866 |  52    65922    65263
    53000   1842s |  27    76387    75866 |  60    73291    72660
    53500   1857s |  30    76608    75866 |  27    73002    72558
    54000   1872s |  43    77041    75866 |  35    73005    72464
    54500   1887s |  59    77395    75866 |  43    72896    72417
    55000   1910s |  64    77688    75866 |  41    66522    65333
    55500   1933s |  51    77378    75866 |  49    75171    73008
    56000   1949s |  26    76320    75866 |  57    73178    72687
    56500   1964s |  49    77242    75866 |  65    73082    72548
    57000   1986s |  61    77575    75866 |  28    66801    65426
    57500   2004s |  25    76282    75866 |  36    73270    72759
    58000   2020s |  35    76825    75866 |  44    73184    72666
    58500   2048s |  63    77692    75866 |  52    65959    65299
    59000   2072s |  62    77662    75866 |  60    65742    65051
    59500   2090s |  48    77206    75866 |  27    73236    72972
    60000   2106s |  35    76849    75866 |  35    73131    72787
    60500   2122s |  57    77347    75866 |  43    73054    72618
    61000   2138s |  36    76859    75866 |  51    73080    72451
    61500   2154s |  59    77471    75866 |  59    73043    72414
    62000   2169s |  32    76714    75866 |  26    72717    72414
    62500   2189s |  30    76709    75866 |  27    66025    65387
    63000   2213s |  42    77256    75866 |  35    65507    65172
    63500   2228s |  33    76814    75866 |  43    73154    72723
    64000   2244s |  41    77062    75866 |  51    73069    72556
    64500   2263s |  59    77794    75866 |  44    66825    65200
    65000   2286s |  45    77522    75866 |  52    65901    65149
    65500   2309s |  43    77253    75866 |  60    65785    65098
    66000   2332s |  42    77299    75866 |  27    65300    64991
    66500   2353s |  56    77594    75866 |  35    65466    64913
    67000   2375s |  52    77511    75866 |  43    65214    64899
    67500   2397s |  34    77062    75866 |  51    65488    64880
R                 |        restart        |        restart
    68000   2414s |  39    77878    77080 |  47    73388    72762
    68500   2430s |  39    77859    77080 |  55    76693    75867
    69000   2455s |  53    78215    77080 |  62    65959    65303
    69500   2472s |  30    77736    77080 |  29    73313    72949
    70000   2489s |  27    77622    77080 |  37    73254    72795
    70500   2506s |  42    77968    77080 |  45    73112    72676
    71000   2523s |  45    78030    77080 |  53    73392    72676
    71500   2540s |  53    77892    77080 |  61    73221    72616
    72000   2557s |  34    77990    77037 |  28    72931    72516
    72500   2573s |  51    77832    77037 |  36    72838    72516
    73000   2589s |  37    77762    77037 |  44    73047    72457
    73500   2605s |  46    77903    77037 |  52    73074    72423
    74000   2622s |  60    78027    77037 |  60    73166    72412
    74500   2638s |  44    77892    77037 |  27    72681    72396
    75000   2653s |  43    77901    77037 |  35    72873    72385
    75500   2668s |  39    77562    76569 |  26    69140    65656
    76000   2691s |  35    77576    76569 |  34    74498    73167
    76500   2708s |  40    77597    76569 |  42    73266    72868
    77000   2724s |  41    77592    76569 |  50    73432    72705
    77500   2743s |  61    77825    76523 |  46    67310    65589
    78000   2760s |  37    77253    76523 |  54    73525    73037
    78500   2777s |  45    77515    76523 |  62    73364    72822
    79000   2789s |  43    77261    76355 |  51    76327    75478
    79500   2807s |  29    77002    76283 |  46    67013    65526
    80000   2825s |  25    76711    76283 |  54    73452    72942
    80500   2841s |  64    77615    76283 |  62    73384    72722
    81000   2857s |  28    76865    76283 |  29    72961    72647
    81500   2875s |  31    76787    76283 |  63    74871    73040
    82000   2896s |  56    77569    76283 |  28    67854    65778
    82500   2916s |  38    77123    76283 |  36    73468    72948
    83000   2931s |  32    76631    76265 |  31    76338    75836
    83500   2948s |  43    77272    76227 |  28    66899    65515
    84000   2971s |  56    77400    76227 |  36    49484    38246
    84500   2998s |  52    77435    76227 |  44    66155    65339
    85000   3019s |  48    77332    76227 |  52    73468    72928
    85500   3034s |  63    77537    76227 |  60    73153    72595
    86000   3049s |  33    76913    76227 |  27    72883    72521
    86500   3064s |  34    76910    76227 |  35    72855    72496
    87000   3079s |  50    77329    76227 |  43    73058    72426
    87500   3094s |  53    77404    76227 |  51    72938    72400
R                 |        restart        |        restart
    88000   3111s |  63    78180    77219 |  48    73528    72944
    88500   3127s |  25    77749    77219 |  56    73529    72805
    89000   3145s |  47    78051    77177 |  64    73467    72766
    89500   3162s |  52    78052    76894 |  31    73239    72766
    90000   3178s |  58    78030    76894 |  39    73057    72643
    90500   3194s |  63    78100    76894 |  47    73032    72608
    91000   3210s |  32    77726    76894 |  55    73082    72571
    91500   3226s |  55    78007    76894 |  63    73131    72571
    92000   3242s |  26    77508    76894 |  30    72831    72528
    92500   3257s |  26    77497    76731 |  36    76550    75964
    93000   3272s |  26    77358    76712 |  33    67333    65420
    93500   3295s |  52    77914    76712 |  41    66496    65258
    94000   3317s |  40    77732    76712 |  49    66505    65022
    94500   3335s |  47    77800    76712 |  57    73565    72923
    95000   3361s |  53    77728    76712 |  65    73863    73183
    95500   3377s |  29    77347    76712 |  32    73457    72898
    96000   3394s |  28    77282    76712 |  40    73533    72823
    96500   3407s |  59    77512    76712 |  48    76319    75699
    97000   3420s |  38    77222    76704 |  51    76302    75513
    97500   3433s |  31    77250    76704 |  49    76261    75492
    98000   3446s |  36    77251    76704 |  50    77104    76473
    98500   3457s |  57    77593    76476 |  55    73689    73052
    99000   3474s |  49    77518    76476 |  63    73541    72906
    99500   3490s |  26    76919    76476 |  30    73298    72750
   100000   3518s |  54    77761    76476 |  38    66301    65395
   100500   3540s |  57    77740    76476 |  46    74042    73069
   101000   3557s |  50    77561    76476 |  54    73258    72677
   101500   3573s |  26    76910    76476 |  62    73126    72624
   102000   3588s |  31    77197    76476 |  29    73064    72549

Search terminated in 3600.02s after 102472 iterations.
